Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides stercoris 	0.000186456	0.000277188	0.000324215	0	5.04E-07	0	0	0	1.33E-06	5.40E-07	1.01E-06	3.17E-06	2.36E-07	3.65E-07	1.59E-07	0.012496827	0.005112834	0.019039031				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides stercoris CAG	0	0	0	0	0	0	0	0	0	3.06E-06	2.84E-06	2.02E-06	0	0	0	4.55E-06	2.13E-06	4.14E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides thetaiotaomicron 	0	1.73E-06	1.23E-06	3.30E-05	2.01E-06	0	1.44E-05	1.21E-05	1.87E-05	0.002837407	0.005860229	0.001621826	0.000237712	0.000895677	0.000723757	0.000464388	0.000580788	0.000419987				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides thetaiotaomicron CAG	0	0	0	0	0	0	0	0	0	2.88E-06	3.65E-06	4.61E-06	0	0	0	0	0	3.48E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides timonensis 	0	0	0	0	0	0	0	0	0	0	0	1.92E-07	0	0	0	1.78E-07	2.50E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides togonis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.38E-06	0	8.97E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides uniformis 	1.55E-05	2.74E-05	2.10E-05	0	0	0	0.000108443	0.000100616	0.001350589	0.001037396	0.000335114	0.000538209	5.10E-05	4.85E-05	4.46E-06	0.000769343	0.000193095	0.00027092				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides uniformis CAG	0	0	0	0	0	0	0	0	7.38E-07	0	0	0	0	0	0	8.92E-08	0	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides vulgatus 	0.00153175	0.001255221	0.001267435	2.03E-05	5.29E-06	1.53E-07	9.32E-06	7.04E-06	0.001962251	0.001516415	0.000252349	0.000282111	0.000923465	0.001496078	0.002062167	0.003142642	0.005658707	0.004203779				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides vulgatus CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49E-05	2.43E-05	1.66E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides xylanisolvens 	0.000593244	0.000379004	0.000275054	3.78E-06	1.01E-06	0	0	0	2.39E-05	0.000620818	0.000390493	0.001029863	0.00031089	0.001263433	0.000937986	0.000118326	0.000206611	0.000197546				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |uncultured Bacteroides sp. 	4.20E-06	3.67E-06	2.82E-06	0	0	0	1.27E-05	1.95E-05	5.02E-06	3.60E-06	6.29E-06	4.32E-06	0	0	0	4.37E-06	1.71E-05	1.65E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Unknown	0.562144079	0.410716643	0.371618625	0.376004746	0.20022507	0.613240954	0.542875394	0.582140358	0.534569857	0.414559635	0.503467878	0.447901585	0.431036278	0.586143142	0.441953113	0.479570552	0.454792043	0.46997923				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Mediterranea |Mediterranea massiliensis 	0	2.16E-07	1.94E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.30E-06	4.88E-06	9.59E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Mediterranea |Mediterranea sp. An20 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03E-07	5.01E-07	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Unknown|Unknown	5.02E-05	7.51E-05	8.99E-05	4.32E-06	2.27E-06	1.53E-07	0.000805701	0.000834195	0.001139024	0.000658427	0.000703292	0.000772037	0.000842024	0.001153252	0.001578441	0.002439819	0.001243419	0.002412995				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Barnesiellaceae |Barnesiella |Barnesiella intestinihominis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03E-05	3.63E-06	1.02E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Butyricimonas faecihominis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29E-05	2.73E-05	2.22E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Butyricimonas sp. An62 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50E-07	1.93E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Butyricimonas sp. Marseille-P3923 	0	4.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68E-07	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Butyricimonas virosa 	1.01E-06	1.51E-06	1.94E-06	0	0	0	8.47E-07	2.35E-06	8.86E-07	0	0	0	0	0	0	1.25E-06	1.25E-06	1.04E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000288905	0.000276941	0.000260095				
